dateRep,day,month,year,cases,deaths,countriesAndTerritories,geoId
2020/03/09,11,NA,2020,0,0,Oregon,US
2020/03/08,10,NA,2020,7,0,Oregon,US
2020/03/07,9,NA,2020,4,0,Oregon,US
2020/03/06,8,NA,2020,0,0,Oregon,US
2020/03/05,7,NA,2020,0,0,Oregon,US
2020/03/04,6,NA,2020,0,0,Oregon,US
2020/03/03,5,NA,2020,0,0,Oregon,US
2020/03/02,4,NA,2020,0,0,Oregon,US
2020/03/01,3,NA,2020,1,0,Oregon,US
2020/02/29,2,NA,2020,0,0,Oregon,US
2020/02/28,1,NA,2020,0,0,Oregon,US
2020/03/27,47,NA,2020,76,5,San Diego,US
2020/03/26,46,NA,2020,44,3,San Diego,US
2020/03/25,45,NA,2020,55,2,San Diego,US
2020/03/24,44,NA,2020,12,1,San Diego,US
2020/03/23,43,NA,2020,25,0,San Diego,US
2020/03/22,42,NA,2020,46,0,San Diego,US
2020/03/21,41,NA,2020,28,0,San Diego,US
2020/03/20,40,NA,2020,26,0,San Diego,US
2020/03/19,39,NA,2020,24,0,San Diego,US
2020/03/18,38,NA,2020,20,0,San Diego,US
2020/03/17,37,NA,2020,5,0,San Diego,US
2020/03/16,36,NA,2020,16,0,San Diego,US
2020/03/15,35,NA,2020,30,0,San Diego,US
2020/03/14,34,NA,2020,1,0,San Diego,US
2020/03/13,33,NA,2020,4,0,San Diego,US
2020/03/12,32,NA,2020,3,0,San Diego,US
2020/03/11,31,NA,2020,0,0,San Diego,US
2020/03/10,30,NA,2020,0,0,San Diego,US
2020/03/09,29,NA,2020,1,0,San Diego,US
2020/03/08,28,NA,2020,0,0,San Diego,US
2020/03/07,27,NA,2020,0,0,San Diego,US
2020/03/06,26,NA,2020,0,0,San Diego,US
2020/03/05,25,NA,2020,0,0,San Diego,US
2020/03/04,24,NA,2020,0,0,San Diego,US
2020/03/03,23,NA,2020,0,0,San Diego,US
2020/03/02,22,NA,2020,0,0,San Diego,US
2020/03/01,21,NA,2020,0,0,San Diego,US
2020/02/29,20,NA,2020,0,0,San Diego,US
2020/02/28,19,NA,2020,0,0,San Diego,US
2020/02/27,18,NA,2020,0,0,San Diego,US
2020/02/26,17,NA,2020,0,0,San Diego,US
2020/02/25,16,NA,2020,0,0,San Diego,US
2020/02/24,15,NA,2020,0,0,San Diego,US
2020/02/23,14,NA,2020,0,0,San Diego,US
2020/02/22,13,NA,2020,0,0,San Diego,US
2020/02/21,12,NA,2020,0,0,San Diego,US
2020/02/20,11,NA,2020,0,0,San Diego,US
2020/02/19,10,NA,2020,0,0,San Diego,US
2020/02/18,9,NA,2020,0,0,San Diego,US
2020/02/17,8,NA,2020,0,0,San Diego,US
2020/02/16,7,NA,2020,0,0,San Diego,US
2020/02/15,6,NA,2020,0,0,San Diego,US
2020/02/14,5,NA,2020,0,0,San Diego,US
2020/02/13,4,NA,2020,0,0,San Diego,US
2020/02/12,3,NA,2020,0,0,San Diego,US
2020/02/11,2,NA,2020,0,0,San Diego,US
2020/02/10,1,NA,2020,0,0,San Diego,US
2020/03/27,55,NA,2020,56,3,San Francisco,US
2020/03/26,54,NA,2020,45,2,San Francisco,US
2020/03/25,53,NA,2020,29,1,San Francisco,US
2020/03/24,52,NA,2020,18,0,San Francisco,US
2020/03/23,51,NA,2020,23,0,San Francisco,US
2020/03/22,50,NA,2020,27,0,San Francisco,US
2020/03/21,49,NA,2020,5,0,San Francisco,US
2020/03/20,48,NA,2020,6,0,San Francisco,US
2020/03/19,47,NA,2020,22,0,San Francisco,US
2020/03/18,46,NA,2020,5,0,San Francisco,US
2020/03/17,45,NA,2020,3,0,San Francisco,US
2020/03/16,44,NA,2020,6,0,San Francisco,US
2020/03/15,43,NA,2020,6,0,San Francisco,US
2020/03/14,42,NA,2020,5,0,San Francisco,US
2020/03/13,41,NA,2020,5,0,San Francisco,US
2020/03/12,40,NA,2020,4,0,San Francisco,US
2020/03/11,39,NA,2020,0,0,San Francisco,US
2020/03/10,38,NA,2020,1,0,San Francisco,US
2020/03/09,37,NA,2020,5,0,San Francisco,US
2020/03/08,36,NA,2020,0,0,San Francisco,US
2020/03/07,35,NA,2020,6,0,San Francisco,US
2020/03/06,34,NA,2020,0,0,San Francisco,US
2020/03/05,33,NA,2020,2,0,San Francisco,US
2020/03/04,32,NA,2020,0,0,San Francisco,US
2020/03/03,31,NA,2020,0,0,San Francisco,US
2020/03/02,30,NA,2020,0,0,San Francisco,US
2020/03/01,29,NA,2020,0,0,San Francisco,US
2020/02/29,28,NA,2020,0,0,San Francisco,US
2020/02/28,27,NA,2020,0,0,San Francisco,US
2020/02/27,26,NA,2020,0,0,San Francisco,US
2020/02/26,25,NA,2020,0,0,San Francisco,US
2020/02/25,24,NA,2020,0,0,San Francisco,US
2020/02/24,23,NA,2020,1,0,San Francisco,US
2020/02/23,22,NA,2020,0,0,San Francisco,US
2020/02/22,21,NA,2020,0,0,San Francisco,US
2020/02/21,20,NA,2020,0,0,San Francisco,US
2020/02/20,19,NA,2020,0,0,San Francisco,US
2020/02/19,18,NA,2020,0,0,San Francisco,US
2020/02/18,17,NA,2020,0,0,San Francisco,US
2020/02/17,16,NA,2020,0,0,San Francisco,US
2020/02/16,15,NA,2020,0,0,San Francisco,US
2020/02/15,14,NA,2020,0,0,San Francisco,US
2020/02/14,13,NA,2020,0,0,San Francisco,US
2020/02/13,12,NA,2020,0,0,San Francisco,US
2020/02/12,11,NA,2020,0,0,San Francisco,US
2020/02/11,10,NA,2020,0,0,San Francisco,US
2020/02/10,9,NA,2020,0,0,San Francisco,US
2020/02/09,8,NA,2020,0,0,San Francisco,US
2020/02/08,7,NA,2020,0,0,San Francisco,US
2020/02/07,6,NA,2020,0,0,San Francisco,US
2020/02/06,5,NA,2020,0,0,San Francisco,US
2020/02/05,4,NA,2020,0,0,San Francisco,US
2020/02/04,3,NA,2020,0,0,San Francisco,US
2020/02/03,2,NA,2020,0,0,San Francisco,US
2020/02/02,1,NA,2020,0,0,San Francisco,US
2020/03/27,45,NA,2020,399,23,Texas,US
2020/03/26,44,NA,2020,424,21,Texas,US
2020/03/25,43,NA,2020,262,12,Texas,US
2020/03/24,42,NA,2020,129,11,Texas,US
2020/03/23,41,NA,2020,96,7,Texas,US
2020/03/22,40,NA,2020,85,7,Texas,US
2020/03/21,39,NA,2020,170,5,Texas,US
2020/03/20,38,NA,2020,129,5,Texas,US
2020/03/19,37,NA,2020,82,4,Texas,US
2020/03/18,36,NA,2020,60,2,Texas,US
2020/03/17,35,NA,2020,19,1,Texas,US
2020/03/16,34,NA,2020,7,1,Texas,US
2020/03/15,33,NA,2020,11,0,Texas,US
2020/03/14,32,NA,2020,11,0,Texas,US
2020/03/13,31,NA,2020,17,0,Texas,US
2020/03/12,30,NA,2020,8,0,Texas,US
2020/03/11,29,NA,2020,2,0,Texas,US
2020/03/10,28,NA,2020,7,0,Texas,US
2020/03/09,27,NA,2020,1,0,Texas,US
2020/03/08,26,NA,2020,4,0,Texas,US
2020/03/07,25,NA,2020,0,0,Texas,US
2020/03/06,24,NA,2020,3,0,Texas,US
2020/03/05,23,NA,2020,4,0,Texas,US
2020/03/04,22,NA,2020,1,0,Texas,US
2020/03/03,21,NA,2020,0,0,Texas,US
2020/03/02,20,NA,2020,0,0,Texas,US
2020/03/01,19,NA,2020,0,0,Texas,US
2020/02/29,18,NA,2020,0,0,Texas,US
2020/02/28,17,NA,2020,1,0,Texas,US
2020/02/27,16,NA,2020,0,0,Texas,US
2020/02/26,15,NA,2020,0,0,Texas,US
2020/02/25,14,NA,2020,0,0,Texas,US
2020/02/24,13,NA,2020,6,0,Texas,US
2020/02/23,12,NA,2020,0,0,Texas,US
2020/02/22,11,NA,2020,0,0,Texas,US
2020/02/21,10,NA,2020,2,0,Texas,US
2020/02/20,9,NA,2020,0,0,Texas,US
2020/02/19,8,NA,2020,0,0,Texas,US
2020/02/18,7,NA,2020,0,0,Texas,US
2020/02/17,6,NA,2020,0,0,Texas,US
2020/02/16,5,NA,2020,0,0,Texas,US
2020/02/15,4,NA,2020,0,0,Texas,US
2020/02/14,3,NA,2020,0,0,Texas,US
2020/02/13,2,NA,2020,1,0,Texas,US
2020/02/12,1,NA,2020,1,0,Texas,US
